estacion,grupo,faltante,fecha_inicio,fecha_fin,longitud_dias
Belisario,71,TRUE,2024-11-06,2024-11-16,11
Carapungo,3,TRUE,2005-03-08,2005-06-14,99
Carapungo,71,TRUE,2024-11-18,2024-12-02,15
Carapungo,75,TRUE,2025-03-10,2025-03-23,14
Carapungo,41,TRUE,2016-08-16,2016-08-22,7
Carapungo,43,TRUE,2018-09-11,2018-09-17,7
Cotocollao,1,TRUE,2005-02-21,2005-05-06,75
Cotocollao,7,TRUE,2005-09-17,2005-09-29,13
Cotocollao,51,TRUE,2016-08-08,2016-08-15,8
LosChillos,95,TRUE,2025-11-20,2025-12-17,28
LosChillos,73,TRUE,2024-11-05,2024-11-28,24
LosChillos,69,TRUE,2024-10-14,2024-11-01,19
LosChillos,83,TRUE,2025-03-09,2025-03-24,16
LosChillos,41,TRUE,2018-10-30,2018-11-06,8
LosChillos,65,TRUE,2024-09-27,2024-10-03,7
Tumbaco,97,TRUE,2024-11-04,2024-12-01,28
Tumbaco,95,TRUE,2024-10-14,2024-11-02,20
Tumbaco,19,TRUE,2012-11-28,2012-12-05,8
Tumbaco,33,TRUE,2016-09-19,2016-09-26,8
