estacion,anio,mes,nombre_mes,dias_esperados,dias_validos,dias_faltantes,cobertura_pct,media_temp
Belisario,2024,11,noviembre,30,10,20,33.333333333333336,14.25452380952381
Carapungo,2005,3,marzo,31,5,26,16.129032258064516,13.90056459330142
Carapungo,2005,4,abril,30,0,30,0,NA
Carapungo,2005,5,mayo,31,0,31,0,NA
Carapungo,2005,6,junio,30,16,14,53.333333333333336,15.757502367424232
Carapungo,2016,8,agosto,31,24,7,77.41935483870968,15.366343942138775
Carapungo,2018,9,septiembre,30,20,10,66.66666666666667,15.660378289473686
Carapungo,2024,11,noviembre,30,17,13,56.666666666666664,14.898072250639382
Carapungo,2025,3,marzo,31,17,14,54.83870967741935,14.196805555555553
Cotocollao,2005,2,febrero,28,20,8,71.42857142857143,13.678166666666655
Cotocollao,2005,3,marzo,31,0,31,0,NA
Cotocollao,2005,4,abril,30,0,30,0,NA
Cotocollao,2005,5,mayo,31,24,7,77.41935483870968,13.56130283816425
Cotocollao,2005,9,septiembre,30,17,13,56.666666666666664,14.612277183600717
Cotocollao,2016,8,agosto,31,23,8,74.19354838709677,14.74471636321427
Cotocollao,2024,4,abril,30,22,8,73.33333333333333,14.459578830858137
LosChillos,2012,12,diciembre,31,24,7,77.41935483870968,15.899201388888887
LosChillos,2024,10,octubre,31,7,24,22.580645161290324,16.70071428571427
LosChillos,2024,11,noviembre,30,4,26,13.333333333333334,15.778749999999999
LosChillos,2025,3,marzo,31,14,17,45.16129032258065,15.542499999999993
LosChillos,2025,11,noviembre,30,9,21,30,15.7723827160494
LosChillos,2025,12,diciembre,31,14,17,45.16129032258065,16.84174512987013
Tumbaco,2016,9,septiembre,30,22,8,73.33333333333333,16.612635869565217
Tumbaco,2018,10,octubre,31,24,7,77.41935483870968,17.067703764619882
Tumbaco,2024,10,octubre,31,7,24,22.580645161290324,17.842182539682558
Tumbaco,2024,11,noviembre,30,1,29,3.3333333333333335,17.699
